total,socket,light,air
61.078125,3.734375,7.5,49.84375
62.87890625,3.34765625,7.46875,52.0625
36.62109375,1.87109375,7.125,27.625
20.828125,1.6015625,5.4140625,13.8125
7.62109375,1.29296875,3.015625,3.3125
5.42578125,1.05078125,1.21875,3.15625
6.234375,0.96875,0.734375,4.53125
21.16796875,0.90234375,5.296875,14.96875
10.34765625,0.94140625,1.0625,8.34375
4.1328125,0.6015625,0.46875,3.0625
4.44921875,0.71484375,0.609375,3.125
4.34375,0.6015625,0.6796875,3.0625
4.16796875,0.55859375,0.609375,3.0
4.390625,0.703125,0.75,2.9375
4.57421875,0.94921875,0.625,3.0
5.60546875,1.29296875,0.78125,3.53125
5.74609375,1.21484375,1.125,3.40625
28.875,3.8515625,4.5234375,20.5
51.7421875,3.7734375,17.25,30.71875
82.40625,3.90625,19.84375,58.65625
72.46484375,3.96484375,13.1875,55.3125
51.7421875,3.5703125,8.171875,40.0
52.3203125,3.515625,8.0546875,40.75
49.171875,3.890625,5.46875,39.8125
47.64453125,3.38671875,10.0703125,34.1875
43.97265625,3.01171875,6.6484375,34.3125
26.04296875,1.79296875,6.125,18.125
15.76171875,1.27734375,4.640625,9.84375
8.59375,1.0,2.3125,5.28125
6.8046875,0.9765625,1.328125,4.5
7.44140625,0.94921875,0.7421875,5.75
15.5078125,0.90625,4.6640625,9.9375
8.34375,0.8046875,1.3515625,6.1875
4.07421875,0.54296875,0.625,2.90625
4.2265625,0.6328125,0.6875,2.90625
4.15234375,0.50390625,0.6171875,3.03125
3.98046875,0.62109375,0.453125,2.90625
5.4921875,1.546875,0.8828125,3.0625
4.828125,1.2890625,0.6015625,2.9375
5.5078125,1.140625,0.9296875,3.4375
5.9375,1.3359375,1.6015625,3.0
16.3984375,3.0703125,4.640625,8.6875
32.203125,2.7421875,12.8984375,16.5625
41.98828125,2.77734375,16.9296875,22.28125
41.921875,2.765625,14.125,25.03125
24.56640625,1.80078125,5.953125,16.8125
7.26171875,0.58203125,1.3984375,5.28125
27.58203125,2.48828125,5.28125,19.8125
21.25,2.4609375,5.0703125,13.71875
22.8359375,2.390625,7.5703125,12.875
12.140625,1.3046875,3.8984375,6.9375
9.953125,1.40625,2.234375,6.3125
9.796875,0.9921875,1.4296875,7.375
7.98046875,0.98828125,1.2421875,5.75
4.55078125,0.92578125,0.75,2.875
6.48046875,0.82421875,1.15625,4.5
5.12890625,0.73046875,0.7734375,3.625
3.73828125,0.48046875,0.3828125,2.875
3.83203125,0.41015625,0.546875,2.875
3.80859375,0.41796875,0.546875,2.84375
3.87109375,0.48046875,0.546875,2.84375
4.2578125,0.671875,0.5859375,3.0
4.390625,0.953125,0.53125,2.90625
4.046875,0.78125,0.359375,2.90625
3.796875,0.75,0.171875,2.875
3.76171875,0.71484375,0.171875,2.875
4.12890625,0.87890625,0.375,2.875
7.6640625,0.8515625,0.4375,6.375
8.9375,0.828125,0.296875,7.8125
8.66796875,0.80859375,0.359375,7.5
8.0546875,0.7421875,0.34375,6.96875
9.05859375,0.74609375,0.15625,8.15625
8.69921875,0.73046875,0.28125,7.6875
8.48046875,0.84765625,0.4453125,7.1875
8.2578125,0.875,0.4453125,6.9375
9.4921875,0.8359375,0.53125,8.125
9.09375,0.8671875,0.6015625,7.625
8.83203125,0.75390625,0.578125,7.5
7.77734375,0.74609375,0.5,6.53125
3.8828125,0.7265625,0.25,2.90625
3.91796875,0.68359375,0.234375,3.0
3.6015625,0.5625,0.2265625,2.8125
3.6015625,0.46875,0.2265625,2.90625
3.5546875,0.4453125,0.234375,2.875
3.48828125,0.42578125,0.21875,2.84375
3.71875,0.703125,0.234375,2.78125
4.16015625,0.96484375,0.2890625,2.90625
5.02734375,1.21484375,0.875,2.9375
5.50390625,1.17578125,1.421875,2.90625
16.62109375,3.85546875,4.671875,8.09375
37.88671875,3.63671875,16.1875,18.0625
41.765625,3.5625,20.203125,18.0
36.74609375,3.31640625,13.8671875,19.5625
27.1953125,2.96875,6.5390625,17.6875
30.234375,3.2109375,9.8984375,17.125
29.5,3.1484375,11.5703125,14.78125
22.42578125,3.01953125,7.375,12.03125
24.50390625,2.89453125,6.671875,14.9375
16.6328125,1.9609375,6.421875,8.25
9.359375,1.8671875,4.1796875,3.3125
6.01953125,1.28515625,1.640625,3.09375
5.08203125,1.09765625,1.078125,2.90625
4.65625,0.984375,0.671875,3.0
1.0546875,0.2265625,0.140625,0.6875
