,日期,小时,温度(C°),湿度(%),降雨量(mm),大气压(hPa),风向,风向角度(°),风速(KM/H),云量(%)
CN101190801,2013/8/6,20,32,66,0.3,1001,南风,184,9,0
CN101190801,2013/8/6,21,31,67,0.2,1002,南风,183,9,0
CN101190801,2013/8/6,22,31,68,0.1,1002,南风,182,10,0
CN101190801,2013/8/6,23,30,69,0,1003,南风,181,10,0
CN101190801,2013/8/7,0,30,70,0,1003,南风,185,10,0
CN101190801,2013/8/7,1,30,71,0,1003,南风,188,10,0
CN101190801,2013/8/7,2,30,72,0,1003,西南风,192,10,0
CN101190801,2013/8/7,3,29,73,0,1003,西南风,191,10,4
CN101190801,2013/8/7,4,29,73,0,1003,南风,190,10,13
CN101190801,2013/8/7,5,29,74,0,1003,南风,189,10,42
CN101190801,2013/8/7,6,30,72,0,1003,南风,191,11,65
CN101190801,2013/8/7,7,30,71,0,1003,西南风,192,12,74
CN101190801,2013/8/7,8,31,69,0,1003,西南风,194,13,93
CN101190801,2013/8/7,9,33,62,0,1003,西南风,202,14,94
CN101190801,2013/8/7,10,35,55,0,1003,西南风,210,16,78
CN101190801,2013/8/7,11,36,48,0,1004,西南风,218,18,76
CN101190801,2013/8/7,12,37,46,0,1003,西南风,216,17,47
CN101190801,2013/8/7,13,38,44,0,1002,西南风,214,16,28
CN101190801,2013/8/7,14,39,42,0,1002,西南风,213,16,16
CN101190801,2013/8/7,15,38,44,0,1002,西南风,210,15,8
CN101190801,2013/8/7,16,38,47,0,1001,西南风,208,14,2
CN101190801,2013/8/7,17,37,50,0,1001,西南风,206,13,0
CN101190801,2013/8/7,18,36,53,0,1001,西南风,200,12,0
CN101190801,2013/8/7,19,34,56,0,1001,西南风,194,11,3
CN101190801,2013/8/7,20,33,59,0,1002,南风,188,11,3
CN101190801,2013/8/7,21,32,60,0,1002,南风,190,11,1
CN101190801,2013/8/7,22,31,61,0,1002,西南风,192,11,4
CN101190801,2013/8/7,23,31,63,0,1003,西南风,194,12,6
CN101190801,2013/8/8,0,30,64,0,1003,西南风,199,12,7
CN101190801,2013/8/8,1,30,65,0,1003,西南风,205,12,2
CN101190801,2013/8/8,2,29,66,0,1003,西南风,211,12,2
CN101190801,2013/8/8,3,29,67,0,1003,西南风,213,11,0
CN101190801,2013/8/8,4,28,68,0,1003,西南风,216,11,0
CN101190801,2013/8/8,5,28,68,0,1004,西南风,218,11,4
CN101190801,2013/8/8,6,28,68,0,1004,西南风,224,11,5
CN101190801,2013/8/8,7,29,68,0,1004,西南风,229,12,13
CN101190801,2013/8/8,8,30,67,0,1004,西南风,235,12,11
CN101190801,2013/8/8,9,32,62,0,1004,西南风,237,13,9
CN101190801,2013/8/8,10,33,57,0,1004,西南风,238,15,5
CN101190801,2013/8/8,11,35,52,0,1004,西南风,240,16,5
CN101190801,2013/8/8,12,36,49,0,1003,西南风,238,16,3
CN101190801,2013/8/8,13,36,47,0,1003,西南风,237,17,2
CN101190801,2013/8/8,14,37,45,0,1002,西南风,235,18,4
CN101190801,2013/8/8,15,37,47,0,1002,西南风,237,16,4
CN101190801,2013/8/8,16,37,50,0,1001,西南风,240,15,6
CN101190801,2013/8/8,17,36,52,0,1001,西南风,242,13,12
CN101190801,2013/8/8,18,35,57,0,1001,西南风,256,12,5
CN101190801,2013/8/8,19,33,62,0,1001,西风,270,11,3
CN101190801,2013/8/8,20,32,66,0,1002,西北风,284,9,26
CN101190801,2013/8/8,21,31,68,0,1002,西风,276,9,44
CN101190801,2013/8/8,22,31,70,0.1,1003,西风,269,8,83
CN101190801,2013/8/8,23,30,72,0.1,1003,西风,262,8,92
CN101190801,2013/8/9,0,30,73,0.1,1003,西南风,252,7,95
CN101190801,2013/8/9,1,29,74,0,1003,西南风,243,7,96
CN101190801,2013/8/9,2,29,75,0,1003,西南风,233,6,95
CN101190801,2013/8/9,3,28,77,0.4,1003,西南风,231,7,90
CN101190801,2013/8/9,4,28,79,0.7,1003,西南风,229,7,89
CN101190801,2013/8/9,5,28,81,1.1,1003,西南风,228,7,91
CN101190801,2013/8/9,6,28,81,1.7,1003,西南风,224,6,90
CN101190801,2013/8/9,7,29,81,2.3,1003,西南风,220,5,94
CN101190801,2013/8/9,8,30,81,2.9,1004,西南风,217,4,95
CN101190801,2013/8/9,9,31,74,3,1004,西南风,221,4,93
CN101190801,2013/8/9,10,33,67,3.2,1004,西南风,225,5,99
CN101190801,2013/8/9,11,35,60,3.3,1004,西南风,229,5,100
CN101190801,2013/8/9,12,35,57,2.7,1004,西南风,228,5,100
CN101190801,2013/8/9,13,36,54,2,1003,西南风,226,6,97
CN101190801,2013/8/9,14,37,51,1.4,1002,西南风,224,6,82
CN101190801,2013/8/9,15,36,55,1.3,1002,西南风,194,5,75
CN101190801,2013/8/9,16,36,58,1.1,1001,东南风,165,3,50
CN101190801,2013/8/9,17,36,61,1,1001,东南风,135,2,30
CN101190801,2013/8/9,18,34,64,0.9,1001,东南风,132,3,20
CN101190801,2013/8/9,19,33,67,0.9,1002,东南风,129,4,9
CN101190801,2013/8/9,20,31,70,0.8,1002,东南风,125,4,6
CN101190801,2013/8/9,21,31,72,1.6,1002,东南风,136,5,10
CN101190801,2013/8/9,22,30,74,2.3,1002,东南风,147,5,24
CN101190801,2013/8/9,23,30,76,3.1,1003,东南风,158,6,34
CN101190801,2013/8/10,0,29,79,2.1,1003,东南风,158,6,25
CN101190801,2013/8/10,1,29,81,1,1003,东南风,158,5,20
CN101190801,2013/8/10,2,28,83,0,1004,东南风,157,5,1
CN101190801,2013/8/10,3,28,84,0,1004,东南风,165,6,0
CN101190801,2013/8/10,4,28,84,0,1004,南风,173,6,14
CN101190801,2013/8/10,5,27,85,0,1004,南风,182,7,10
CN101190801,2013/8/10,6,29,83,0,1004,南风,184,7,22
CN101190801,2013/8/10,7,30,81,0.1,1005,南风,187,8,29
CN101190801,2013/8/10,8,31,79,0.1,1005,南风,190,8,34
CN101190801,2013/8/10,9,32,72,0.3,1005,南风,191,8,39
CN101190801,2013/8/10,10,34,65,0.5,1005,西南风,192,8,25
CN101190801,2013/8/10,11,36,59,0.7,1006,西南风,194,8,39
CN101190801,2013/8/10,12,37,54,0.5,1005,西南风,200,8,64
CN101190801,2013/8/10,13,37,50,0.2,1005,西南风,206,7,50
CN101190801,2013/8/10,14,38,46,0,1004,西南风,213,7,31
CN101190801,2013/8/10,15,38,47,0,1004,西南风,202,6,14
CN101190801,2013/8/10,16,39,49,0,1004,南风,191,5,6
CN101190801,2013/8/10,17,39,50,0,1004,南风,180,4,1
CN101190801,2013/8/10,18,37,54,0,1004,东南风,159,6,2
CN101190801,2013/8/10,19,34,57,0,1004,东南风,139,7,1
CN101190801,2013/8/10,20,32,61,0,1004,东南风,118,8,4
CN101190801,2013/8/10,21,32,63,0,1005,东南风,125,9,2
CN101190801,2013/8/10,22,31,64,0,1005,东南风,132,9,9
CN101190801,2013/8/10,23,31,66,0,1006,东南风,140,10,4
CN101190801,2013/8/11,0,30,69,0,1006,东南风,139,9,3
CN101190801,2013/8/11,1,30,71,0,1006,东南风,139,8,2
CN101190801,2013/8/11,2,29,73,0,1007,东南风,138,7,11
CN101190801,2013/8/11,3,29,74,0,1007,东南风,136,7,9
CN101190801,2013/8/11,4,28,75,0,1007,东南风,133,7,8
CN101190801,2013/8/11,5,28,76,0,1007,东南风,130,8,21
CN101190801,2013/8/11,6,29,76,0.1,1007,东南风,129,8,27
CN101190801,2013/8/11,7,30,75,0.3,1007,东南风,129,8,44
CN101190801,2013/8/11,8,31,75,0.4,1007,东南风,128,9,86
CN101190801,2013/8/11,9,33,69,0.3,1007,东南风,134,9,85
CN101190801,2013/8/11,10,34,62,0.1,1007,东南风,140,10,76
CN101190801,2013/8/11,11,36,56,0,1008,东南风,147,10,65
CN101190801,2013/8/11,12,37,53,0.1,1007,东南风,148,10,57
CN101190801,2013/8/11,13,38,50,0.1,1006,东南风,150,10,61
CN101190801,2013/8/11,14,39,47,0.2,1005,东南风,151,10,68
CN101190801,2013/8/11,15,38,50,0.3,1005,东南风,131,9,41
CN101190801,2013/8/11,16,37,54,0.4,1004,东南风,111,9,21
CN101190801,2013/8/11,17,37,58,0.5,1004,东风,91,9,34
CN101190801,2013/8/11,18,35,64,0.4,1004,东风,95,10,31
CN101190801,2013/8/11,19,33,70,0.4,1004,东风,99,11,9
CN101190801,2013/8/11,20,31,76,0.3,1005,东南风,104,13,3
CN101190801,2013/8/11,21,31,76,0.2,1005,东南风,113,13,2
CN101190801,2013/8/11,22,30,77,0.1,1005,东南风,122,13,1
CN101190801,2013/8/11,23,30,78,0,1005,东南风,131,13,0
CN101190801,2013/8/12,0,29,79,0,1005,东南风,136,12,1
CN101190801,2013/8/12,1,29,80,0,1005,东南风,140,11,1
CN101190801,2013/8/12,2,29,81,0,1006,东南风,145,10,9
CN101190801,2013/8/12,3,28,80,0,1006,东南风,149,9,9
CN101190801,2013/8/12,4,28,80,0,1006,东南风,153,9,3
CN101190801,2013/8/12,5,28,79,0,1006,东南风,157,8,11
CN101190801,2013/8/12,6,29,77,0,1006,东南风,158,8,16
CN101190801,2013/8/12,7,30,75,0,1006,东南风,159,8,17
CN101190801,2013/8/12,8,31,73,0,1006,东南风,161,8,28
CN101190801,2013/8/12,9,33,67,0,1006,东南风,164,8,30
CN101190801,2013/8/12,10,35,61,0,1006,东南风,167,8,38
CN101190801,2013/8/12,11,37,55,0,1006,南风,170,8,26
CN101190801,2013/8/12,12,38,50,0,1005,东南风,168,8,32
CN101190801,2013/8/12,13,39,45,0,1005,东南风,166,7,34
CN101190801,2013/8/12,14,40,40,0,1004,东南风,164,6,38
CN101190801,2013/8/12,15,39,43,0,1004,东南风,147,7,38
CN101190801,2013/8/12,16,39,46,0,1003,东南风,130,7,58
CN101190801,2013/8/12,17,39,49,0,1003,东南风,112,8,72
CN101190801,2013/8/12,18,36,56,0.5,1003,东南风,113,9,71
CN101190801,2013/8/12,19,34,64,0.9,1004,东南风,113,11,70
CN101190801,2013/8/12,20,31,72,1.4,1004,东南风,114,12,44
CN101190801,2013/8/12,21,31,73,1,1004,东南风,124,12,1
CN101190801,2013/8/12,22,30,75,0.5,1005,东南风,134,12,3
CN101190801,2013/8/12,23,30,77,0.1,1005,东南风,145,12,15
CN101190801,2013/8/13,0,30,81,0.1,1005,东南风,144,11,35
CN101190801,2013/8/13,1,29,86,0,1005,东南风,143,11,46
CN101190801,2013/8/13,2,29,91,0,1006,东南风,143,10,45
CN101190801,2013/8/13,3,29,92,0.5,1006,东南风,143,9,17
CN101190801,2013/8/13,4,28,94,1,1006,东南风,144,9,21
CN101190801,2013/8/13,5,28,96,1.5,1006,东南风,144,8,16
CN101190801,2013/8/13,6,28,93,1,1006,东南风,139,8,21
CN101190801,2013/8/13,7,29,91,0.6,1006,东南风,133,8,19
CN101190801,2013/8/13,8,30,88,0.1,1006,东南风,128,8,17
CN101190801,2013/8/13,9,31,82,0.6,1006,东南风,126,8,31
CN101190801,2013/8/13,10,33,75,1.2,1006,东南风,124,9,50
CN101190801,2013/8/13,11,34,68,1.7,1006,东南风,122,9,24
CN101190801,2013/8/13,12,35,65,1.2,1005,东南风,116,10,15
CN101190801,2013/8/13,13,36,61,0.7,1005,东南风,111,12,20
CN101190801,2013/8/13,14,36,57,0.2,1004,东南风,105,13,22
CN101190801,2013/8/13,15,36,60,0.1,1004,东南风,103,13,9
CN101190801,2013/8/13,16,35,62,0.1,1003,东南风,101,13,8
CN101190801,2013/8/13,17,35,65,0,1003,东风,99,13,4
CN101190801,2013/8/13,18,34,68,0,1003,东南风,102,13,12
CN101190801,2013/8/13,19,32,71,0,1003,东南风,105,13,8
CN101190801,2013/8/13,20,31,74,0,1003,东南风,108,13,7
CN101190801,2013/8/13,21,30,76,0,1004,东南风,113,12,6
CN101190801,2013/8/13,22,29,77,0,1004,东南风,117,12,6
CN101190801,2013/8/13,23,29,78,0,1005,东南风,121,12,15
CN101190801,2013/8/14,0,28,84,0,1005,东南风,113,11,32
CN101190801,2013/8/14,1,28,89,0,1005,东南风,104,10,31
CN101190801,2013/8/14,2,27,94,0,1005,东风,95,10,45
CN101190801,2013/8/14,3,26,96,0,1005,东风,97,10,66
CN101190801,2013/8/14,4,26,97,0,1004,东风,99,10,77
CN101190801,2013/8/14,5,26,99,0,1004,东南风,101,10,72
CN101190801,2013/8/14,6,27,95,0,1005,东南风,104,10,88
CN101190801,2013/8/14,7,28,91,0,1005,东南风,107,10,74
CN101190801,2013/8/14,8,29,87,0,1005,东南风,110,10,67
CN101190801,2013/8/14,9,31,79,0,1005,东南风,111,10,71
CN101190801,2013/8/14,10,33,72,0,1005,东南风,111,10,74
CN101190801,2013/8/14,11,35,64,0,1005,东南风,111,9,59
CN101190801,2013/8/14,12,36,60,0,1005,东南风,110,9,40
CN101190801,2013/8/14,13,37,55,0,1004,东南风,108,9,27
CN101190801,2013/8/14,14,38,51,0,1004,东南风,107,9,34
CN101190801,2013/8/14,15,37,53,0,1003,东南风,102,9,16
CN101190801,2013/8/14,16,36,56,0,1003,东风,98,10,23
CN101190801,2013/8/14,17,36,58,0,1002,东风,94,11,18
CN101190801,2013/8/14,18,34,63,0.1,1003,东风,95,11,15
CN101190801,2013/8/14,19,32,67,0.2,1003,东风,96,11,17
CN101190801,2013/8/14,20,31,72,0.3,1004,东风,97,12,13
CN101190801,2013/8/14,21,30,74,0.3,1004,东南风,105,12,8
CN101190801,2013/8/14,22,30,76,0.2,1004,东南风,113,12,8
CN101190801,2013/8/14,23,29,78,0.2,1005,东南风,121,12,11
CN101190801,2013/8/15,0,29,81,0.1,1005,东南风,122,11,22
CN101190801,2013/8/15,1,29,83,0.1,1005,东南风,123,10,35
CN101190801,2013/8/15,2,28,85,0,1005,东南风,124,9,35
CN101190801,2013/8/15,3,28,88,0.4,1005,东南风,125,9,29
CN101190801,2013/8/15,4,27,90,0.8,1005,东南风,126,8,31
CN101190801,2013/8/15,5,27,92,1.2,1005,东南风,127,8,25
CN101190801,2013/8/15,6,28,89,0.8,1005,东南风,124,8,19
CN101190801,2013/8/15,7,29,85,0.5,1005,东南风,121,8,20
CN101190801,2013/8/15,8,30,82,0.1,1005,东南风,118,8,24
CN101190801,2013/8/15,9,32,76,0.7,1005,东南风,118,8,31
CN101190801,2013/8/15,10,33,70,1.3,1005,东南风,117,8,12
CN101190801,2013/8/15,11,35,63,1.9,1005,东南风,116,8,19
CN101190801,2013/8/15,12,35,59,1.4,1004,东南风,114,8,28
CN101190801,2013/8/15,13,36,55,1,1004,东南风,112,9,2
CN101190801,2013/8/15,14,37,50,0.5,1003,东南风,109,10,3
CN101190801,2013/8/15,15,36,54,0.3,1003,东南风,107,11,34
CN101190801,2013/8/15,16,36,57,0.2,1003,东南风,104,11,43
CN101190801,2013/8/15,17,35,60,0,1002,东南风,101,12,88
CN101190801,2013/8/15,18,34,64,0,1003,东南风,106,12,86
CN101190801,2013/8/15,19,32,68,0,1003,东南风,112,12,54
CN101190801,2013/8/15,20,31,73,0,1003,东南风,117,13,77
CN101190801,2013/8/15,21,30,73,0,1003,东南风,121,12,64
CN101190801,2013/8/15,22,30,74,0,1003,东南风,125,12,13
CN101190801,2013/8/15,23,29,75,0,1004,东南风,129,12,22
CN101190801,2013/8/16,0,29,77,0,1003,东南风,134,11,13
CN101190801,2013/8/16,1,28,79,0,1003,东南风,139,11,11
CN101190801,2013/8/16,2,28,81,0,1003,东南风,143,10,33
CN101190801,2013/8/16,3,27,83,0,1003,东南风,146,9,83
CN101190801,2013/8/16,4,27,85,0,1002,东南风,148,8,96
CN101190801,2013/8/16,5,27,88,0,1002,东南风,151,8,76
CN101190801,2013/8/16,6,28,85,0,1002,东南风,154,8,25
CN101190801,2013/8/16,7,30,82,0,1002,东南风,158,9,23
CN101190801,2013/8/16,8,31,79,0,1002,东南风,161,9,18
CN101190801,2013/8/16,9,34,72,0,1002,东南风,165,9,13
CN101190801,2013/8/16,10,36,65,0,1002,东南风,168,9,51
CN101190801,2013/8/16,11,38,59,0,1002,南风,172,9,50
CN101190801,2013/8/16,12,39,55,0,1002,东南风,162,9,42
CN101190801,2013/8/16,13,39,52,0,1001,东南风,152,8,62
CN101190801,2013/8/16,14,40,49,0,1000,东南风,143,7,80
CN101190801,2013/8/16,15,39,51,0,1000,东南风,137,8,89
CN101190801,2013/8/16,16,39,54,0,999,东南风,132,9,55
CN101190801,2013/8/16,17,39,57,0,999,东南风,127,10,19
CN101190801,2013/8/16,18,36,61,0,999,东南风,127,11,11
CN101190801,2013/8/16,19,33,65,0,1000,东南风,127,12,23
CN101190801,2013/8/16,20,30,69,0,1000,东南风,126,13,47
CN101190801,2013/8/16,21,30,71,0,1001,东南风,136,13,61
CN101190801,2013/8/16,22,29,72,0,1001,东南风,145,13,78
CN101190801,2013/8/16,23,29,74,0,1001,东南风,155,13,71
CN101190801,2013/8/17,0,29,74,0,1001,东南风,157,12,41
CN101190801,2013/8/17,1,28,74,0,1001,东南风,159,11,34
CN101190801,2013/8/17,2,28,74,0,1001,东南风,162,9,44
CN101190801,2013/8/17,3,28,76,0,1001,东南风,165,9,50
CN101190801,2013/8/17,4,28,78,0,1001,东南风,169,9,49
CN101190801,2013/8/17,5,27,80,0,1001,南风,172,9,69
CN101190801,2013/8/17,6,29,78,0,1001,南风,175,9,87
CN101190801,2013/8/17,7,30,76,0,1001,南风,177,9,77
CN101190801,2013/8/17,8,32,75,0,1001,南风,179,9,8
CN101190801,2013/8/17,9,34,69,0,1001,南风,184,9,21
CN101190801,2013/8/17,10,36,62,0,1001,南风,189,8,13
CN101190801,2013/8/17,11,39,56,0,1001,西南风,194,8,9
CN101190801,2013/8/17,12,40,53,0,1001,南风,180,6,23
CN101190801,2013/8/17,13,41,50,0,1000,东南风,165,5,55
CN101190801,2013/8/17,14,42,47,0,1000,东南风,151,3,68
CN101190801,2013/8/17,15,41,49,0,1000,东南风,137,5,76
CN101190801,2013/8/17,16,40,51,0,999,东南风,124,7,32
CN101190801,2013/8/17,17,39,54,0,999,东南风,110,9,30
CN101190801,2013/8/17,18,36,58,0,999,东南风,113,10,37
CN101190801,2013/8/17,19,33,63,0,1000,东南风,116,11,59
CN101190801,2013/8/17,20,31,68,0,1000,东南风,119,12,75
CN101190801,2013/8/17,21,30,68,0,1001,东南风,125,11,86
CN101190801,2013/8/17,22,29,68,0,1001,东南风,132,10,64
CN101190801,2013/8/17,23,29,68,0,1002,东南风,139,10,55
CN101190801,2013/8/18,0,29,71,0,1002,东南风,123,7,55
CN101190801,2013/8/18,1,29,74,0,1002,东南风,106,5,39
CN101190801,2013/8/18,2,29,77,0,1002,东风,89,3,52
CN101190801,2013/8/18,3,29,77,0.1,1003,东风,82,4,61
CN101190801,2013/8/18,4,28,78,0.1,1003,东北风,76,5,54
CN101190801,2013/8/18,5,28,79,0.2,1003,东北风,69,6,36
CN101190801,2013/8/18,6,29,80,0.6,1003,东北风,64,7,35
CN101190801,2013/8/18,7,31,80,1.1,1004,东北风,58,8,28
CN101190801,2013/8/18,8,32,81,1.5,1004,东北风,53,9,29
CN101190801,2013/8/18,9,33,75,1.3,1004,东北风,50,10,48
CN101190801,2013/8/18,10,34,69,1,1004,东北风,48,11,35
CN101190801,2013/8/18,11,35,63,0.8,1004,东北风,45,12,35
CN101190801,2013/8/18,12,36,58,0.7,1004,东北风,41,13,31
CN101190801,2013/8/18,13,36,53,0.6,1004,东北风,37,13,33
CN101190801,2013/8/18,14,37,49,0.5,1003,东北风,32,13,33
CN101190801,2013/8/18,15,36,51,0.4,1003,东北风,31,13,41
CN101190801,2013/8/18,16,36,53,0.2,1004,东北风,30,12,28
CN101190801,2013/8/18,17,35,56,0.1,1004,东北风,29,11,16
CN101190801,2013/8/18,18,33,59,0.1,1004,东北风,32,11,14
CN101190801,2013/8/18,19,31,63,0,1004,东北风,35,11,21
CN101190801,2013/8/18,20,29,67,0,1005,东北风,37,10,15
CN101190801,2013/8/18,21,29,69,0,1005,东北风,43,11,13
CN101190801,2013/8/18,22,28,72,0,1006,东北风,49,11,49
CN101190801,2013/8/18,23,27,75,0,1006,东北风,54,12,40
CN101190801,2013/8/19,0,27,74,0,1006,东北风,50,12,47
CN101190801,2013/8/19,1,26,74,0,1006,东北风,47,12,42
CN101190801,2013/8/19,2,25,74,0,1007,东北风,43,12,36
CN101190801,2013/8/19,3,25,75,0,1007,东北风,44,11,25
CN101190801,2013/8/19,4,25,77,0,1007,东北风,44,11,23
CN101190801,2013/8/19,5,24,78,0,1007,东北风,45,10,20
CN101190801,2013/8/19,6,25,77,0,1007,东北风,47,12,21
CN101190801,2013/8/19,7,27,77,0,1007,东北风,49,13,23
CN101190801,2013/8/19,8,28,77,0,1008,东北风,51,14,16
CN101190801,2013/8/19,9,29,72,0,1008,东北风,54,15,18
CN101190801,2013/8/19,10,30,68,0,1008,东北风,57,15,25
CN101190801,2013/8/19,11,31,63,0,1008,东北风,59,16,24
CN101190801,2013/8/19,12,32,60,0,1007,东北风,58,16,6
CN101190801,2013/8/19,13,32,57,0,1007,东北风,57,17,1
CN101190801,2013/8/19,14,33,53,0,1006,东北风,56,17,3
CN101190801,2013/8/19,15,32,55,0,1006,东北风,57,17,7
CN101190801,2013/8/19,16,32,56,0,1006,东北风,59,17,7
CN101190801,2013/8/19,17,31,58,0,1005,东北风,60,17,19
